ru,en
Назад,Back
Главное меню,Main menu
Выберите язык,Choose language
Язык изменён,Language changed
Погода,Weather
Температура,Temperature
ощущается как,feels like
Состояние,Condition
Влажность,Humidity
Ветер,Wind
Задайте свой вопрос и я попробую найти что-то связанное в моей базе знаний!,Ask your question and I'll try to find something related in my knowledge base!
Не удалось получить ответ на вопрос,Couldn't get an answer to the question
Не нравится ответ,Dislike the answer
Задайте свой вопрос,Ask your question
Позвать Yandex GPT,Call Yandex GPT
"Неудачная попытка, пробуем ещё раз...","Failed attempt, let's try again..."
"Если вам не нравится ответ, обратитесь в колл-центр +74959560033 или позовите YandexGPT","If you don't like the answer, contact the call center +74959560033 or call YandexGPT"
"Кажется, я только что обнаружил пробел в матрице... Пока я его чиню, звоните +74959560033 – там живые эксперты!","Looks like I just found a glitch in the matrix... While I fix this, call +74959560033 – our live experts are standing by!"